symbol,regime,model,status,window_count,requested_window_count,compounded_return_pct,worst_window_drawdown_pct,average_window_sharpe,total_trades,win_rate_pct,commission_and_tax_paid,turnover_twd,exposure_pct,average_capital_utilization_pct,observation_days
2412.TW,bull,tu_strategy,available,9,9,-1.1939,1.87,-0.2078,33,33.33,378214.32,129160338.53,37.11,7.34,2072
2412.TW,bull,adaptive_tu_strategy,available,9,9,-1.6882,1.99,-0.2056,33,33.33,440539.74,150459558.38,37.11,8.27,2072
2412.TW,bull,buy_and_hold,available,9,9,90.6437,14.7081,0.8382,9,100.0,554831.62,185956373.41,100.0,99.46,2072
2412.TW,bull,sma_8_21,available,9,9,20.5786,9.0412,0.2983,55,36.36,3273787.68,1116550463.09,61.15,60.85,2072
2412.TW,bear,tu_strategy,available,1,1,-0.48,2.09,-0.34,3,33.33,34480.2,11795124.36,30.08,5.97,246
2412.TW,bear,adaptive_tu_strategy,available,1,1,-0.48,2.09,-0.34,3,33.33,34480.2,11795124.36,30.08,5.97,246
2412.TW,bear,buy_and_hold,available,1,1,1.4945,16.285,0.1649,1,100.0,58842.14,20010151.89,100.0,99.2,246
2412.TW,bear,sma_8_21,available,1,1,-2.6941,12.2131,-0.2368,9,22.22,523924.35,178988919.06,59.35,58.91,246
2412.TW,sideways,tu_strategy,available,2,2,-0.4106,1.4,-0.15,9,33.33,102456.4,34996500.22,45.3,8.95,490
2412.TW,sideways,adaptive_tu_strategy,available,2,2,-0.781,1.79,-0.14,9,33.33,145934.33,49857451.45,45.3,12.03,490
2412.TW,sideways,buy_and_hold,available,2,2,13.3191,5.6755,0.7161,2,100.0,122813.13,41257459.16,100.0,99.75,490
2412.TW,sideways,sma_8_21,available,2,2,-9.059,10.9314,-0.5363,16,31.25,927288.73,317016153.71,65.72,65.53,490
2912.TW,bull,tu_strategy,available,9,9,-3.8901,2.86,-0.6256,23,34.78,287952.08,98493927.2,22.45,4.4,2071
2912.TW,bull,adaptive_tu_strategy,available,9,9,-4.7009,2.86,-0.6256,23,34.78,314166.0,107483926.05,22.45,4.74,2071
2912.TW,bull,buy_and_hold,available,9,9,30.2254,15.6441,0.2262,9,77.78,537504.45,181819448.96,100.0,99.07,2071
2912.TW,bull,sma_8_21,available,9,9,-45.8406,18.835,-0.6549,66,21.21,3712789.91,1270400145.5,48.57,48.11,2071
2912.TW,bear,tu_strategy,available,1,1,0.03,1.29,0.03,2,50.0,22391.99,7642232.78,8.54,1.64,246
2912.TW,bear,adaptive_tu_strategy,available,1,1,0.03,1.29,0.03,2,50.0,22391.99,7642232.78,8.54,1.64,246
2912.TW,bear,buy_and_hold,available,1,1,1.4992,9.1112,0.1269,1,100.0,58666.7,19950020.6,100.0,98.85,246
2912.TW,bear,sma_8_21,available,1,1,-12.0041,14.6475,-0.93,11,9.09,595539.32,203913376.66,46.34,45.73,246
2912.TW,sideways,tu_strategy,available,2,2,0.0287,2.85,-0.03,5,40.0,72566.63,24770228.0,28.98,5.58,490
2912.TW,sideways,adaptive_tu_strategy,available,2,2,0.2379,5.24,-0.03,5,40.0,109120.47,37237545.23,28.98,9.6,490
2912.TW,sideways,buy_and_hold,available,2,2,-5.3947,20.0917,0.0782,2,50.0,115112.59,39464262.06,100.0,99.28,490
2912.TW,sideways,sma_8_21,available,2,2,-20.9891,19.7124,-0.4614,15,20.0,830871.59,284752338.66,51.63,51.0,490
